DATE,AWND,CLDD,PRCP,TMAX,TMIN,Harvested_Acres,Yld_trays,Mrkt _Value ,Total_Value
1/1/1948,0,21,259,20,7,208,492529,0,1231322
1/1/1949,0,42,254,20,7,362,377860,0,848393
1/1/1950,0,52,264,20,8,447,544644,0,2030166
1/1/1951,0,42,276,20,8,556,514715,0,1521583
1/1/1952,0,20,463,19,8,760,649746,0,1921129
1/1/1953,0,55,146,21,7,664,533471,0,3266285
1/1/1954,0,20,281,21,7,508,477040,0,2265332
1/1/1955,0,34,381,19,7,772,642450,0,3839813
1/1/1956,0,32,173,20,7,1203,870281,0,3984295
1/1/1957,0,41,267,20,8,1228,1104632,0,3493531
1/1/1958,0,85,463,21,9,1242,1052092,0,3226348
1/1/1959,0,75,185,21,8,898,649309,411,2881061
1/1/1960,0,35,402,20,8,798,0,416,3015700
1/1/1961,0,66,149,20,7,821,0,406,3518000
1/1/1962,0,23,353,19,7,827,0,392,3308000
1/1/1963,0,37,363,20,8,820,0,440,3815000
1/1/1964,0,31,252,20,6,718,0,443,4763000
1/1/1965,0,68,342,20,7,682,0,470,4142000
1/1/1966,0,45,190,20,7,544,0,490,2962000
1/1/1967,0,43,352,20,7,630,0,478,4390000
1/1/1968,0,52,207,21,8,600,0,508,4628000
1/1/1969,0,18,472,20,8,580,0,516,5193000
1/1/1970,0,45,337,20,7,550,0,481,4627000
1/1/1971,0,53,168,19,6,540,0,450,4025000
1/1/1972,0,40,172,20,7,526,0,515,6284030
1/1/1973,0,62,502,20,7,536,0,578,6340000
1/1/1974,0,24,405,20,8,555,0,580,6541800
1/1/1975,0,19,215,19,7,642,0,600,8023320
1/1/1976,0,86,302,21,7,738,0,800,11236050
1/1/1977,0,51,252,21,8,774,0,640,11455200
1/1/1978,0,50,655,21,8,858,0,660,8006210
1/1/1979,0,56,338,21,7,823,0,685,10842000
1/1/1980,0,48,342,21,8,836,0,774,12040276
1/1/1981,0,53,384,21,8,750,0,860,10080000
1/1/1982,0,36,432,20,8,924,0,958,27382000
1/1/1983,0,226,680,22,10,996,0,900,24429200
1/1/1984,4,240,190,22,8,1203,0,908,31046469
1/1/1985,4,128,199,21,8,1616,7150832,0,41045776
1/1/1986,4,18,354,21,8,1687,7524020,0,43714556
1/1/1987,4,38,301,20,7,2611,10242953,0,57462966
1/1/1988,4,79,286,21,8,3428,10000504,0,59302966
1/1/1989,4,56,84,21,8,4617,14147226,0,74838825
1/1/1990,4,52,154,21,8,4530,11903815,0,67399639
1/1/1991,4,34,422,20,8,5014,11671850,0,82297364
1/1/1992,4,61,351,22,9,5280,9777662,0,56779539
1/1/1993,4,64,413,21,8,6041,8751234,0,70585644
1/1/1994,4,34,319,20,7,4376,8824685,0,68236779
1/1/1995,4,40,633,21,9,4497,10113079,0,78067902
1/1/1996,0,86,460,21,8,4548,11243156,0,64327191
1/1/1997,3,157,291,22,8,3373,10223259,0,68503889
1/1/1998,3,58,718,20,8,3281,6794065,0,71393391
1/1/1999,3,26,300,20,7,3163,7306530,0,80053943
1/1/2000,3,27,356,20,8,3550,9262824,0,75471274
1/1/2001,3,43,373,20,8,3092,8971191,0,75875341
1/1/2002,3,26,234,20,8,3725,13264613,0,115807473
1/1/2003,3,57,227,21,8,3763,16178266,0,142898737
1/1/2004,3,58,320,20,8,5239,18904827,0,186066115
1/1/2005,3,27,418,21,8,5518,21549501,0,202616827
1/1/2006,3,126,388,21,9,6210,18139410,0,231391853
1/1/2007,3,72,145,21,8,6414,26849004,0,312754997
1/1/2008,3,107,317,21,8,7193,25901993,0,309277708
1/1/2009,3,65,250,21,8,7550,32548050,0,344614465
1/1/2010,3,49,637,20,8,7680,33400333,0,392302468
1/1/2011,3,54,342,20,8,6471,31054354,0,366650056
1/1/2012,3,62,278,21,8,6657,33158502,0,393923004
1/1/2013,3,108,76,22,8,7313,38451754,0,426045434
1/1/2014,3,293,243,24,11,7837,38714793,0,464721467
1/1/2015,3,336,107,23,10,7895,40627670,0,438327559
1/1/2016,3,75,303,22,9,8055,41152995,0,413999130
1/1/2017,3,174,362,22,9,8327,42904027,0,457009208
1/1/2018,3,119,220,22,9,7579,0,0,478506788
